column 1	Pathways of a reaction	Super-Pathways	Super-Pathways	Super-Pathways
SULFITE-REDUCT-RXN	SO4ASSIM-PWY	SULFATE-CYS-PWY		
GLUTRACE-RXN	PWY-6387	PEPTIDOGLYCANSYN-PWY		
DALADALALIG-RXN	PWY-6387	PEPTIDOGLYCANSYN-PWY		
PEPDEPHOS-RXN	GLYCOLYSIS // PWY-5484 // FERMENTATION-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
DSERDEAM-RXN				
ADPREDUCT-RXN	PWY-7220	PWY-6126	DENOVOPURINE2-PWY	PRPP-PWY
DUTP-PYROP-RXN	PWY-7187 // PWY-7206 // PWY-7184 // PWY0-166	PWY0-166 // PWY-7211		
XANTHOSINEPHOSPHORY-RXN	PWY0-1296 // SALVPURINE2-PWY			
ORNDECARBOX-RXN	ORNDEG-PWY // PWY-46	ORNARGDEG-PWY // POLYAMSYN-PWY	ARG+POLYAMINE-SYN	
N-ACETYLGLUTPREDUCT-RXN	GLUTORN-PWY	ARGSYN-PWY	ARG+POLYAMINE-SYN	
ATPASE-RXN				
PRAISOM-RXN	TRPSYN-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
RXN0-5240				
DAHPSYN-RXN	PWY-6164	ARO-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY
RXN0-6460	PWY0-1471			
INOSINEKIN-RXN	PWY-6611			
MANNPDEHYDROG-RXN	MANNIDEG-PWY	HEXITOLDEGSUPER-PWY		
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	ALANINE-VALINESYN-PWY // VALSYN-PWY	PWY0-1061 // BRANCHED-CHAIN-AA-SYN-PWY		
SAICARSYN-RXN	PWY-6123	DENOVOPURINE2-PWY	PRPP-PWY	
RXN-6622				
THRESYN-RXN	HOMOSER-THRESYN-PWY	THRESYN-PWY	P4-PWY	PWY0-781
CDPREDUCT-RXN	PWY-7184 // PWY0-166	PWY-7211 // PWY0-166		
1.8.4.8-RXN	SO4ASSIM-PWY	SULFATE-CYS-PWY		
1.1.1.83-RXN	PWY0-1465			
RXN-8991	LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
GLUTAMIDOTRANS-RXN	HISTSYN-PWY	PRPP-PWY		
PREPHENATEDEHYDRAT-RXN	PHESYN	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
GLUTDEHYD-RXN	AMMASSIM-PWY // GLUTSYN-PWY // GLUTSYNIII-PWY			
SUCCARGDIHYDRO-RXN	AST-PWY			
UDP-NACMUR-ALA-LIG-RXN	PWY-6387	PEPTIDOGLYCANSYN-PWY		
ASNSYNA-RXN	ASPARAGINESYN-PWY	ASPASN-PWY // PWY0-1325		
2-ISOPROPYLMALATESYN-RXN	LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
ATPPHOSPHORIBOSYLTRANS-RXN	HISTSYN-PWY	PRPP-PWY		
GLUCARDEHYDRA-RXN	GLUCARDEG-PWY	GLUCARGALACTSUPER-PWY		
SUCCORNTRANSAM-RXN	AST-PWY			
ACETYL-COA-ACETYLTRANSFER-RXN	PWY0-1337 // ACETOACETATE-DEG-PWY			
HOMSUCTRAN-RXN	HOMOSER-METSYN-PWY	P4-PWY // METSYN-PWY	PWY0-781 // MET-SAM-PWY	
DIHYDROXYMETVALDEHYDRAT-RXN	ILEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY // THREOCAT-PWY		
ASPARTATEKIN-RXN	DAPLYSINESYN-PWY // HOMOSERSYN-PWY	P4-PWY // THRESYN-PWY // METSYN-PWY	PWY0-781 // P4-PWY // MET-SAM-PWY	PWY0-781
NANK-RXN	PWY0-1324	GLCMANNANAUT-PWY		
4.3.1.17-RXN				
CITSYN-RXN	FERMENTATION-PWY // TCA // GLYOXYLATE-BYPASS	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
LIPIDXSYNTHESIS-RXN	NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
6PGLUCONOLACT-RXN	OXIDATIVEPENT-PWY // GLYCOLYSIS-E-D	PENTOSE-P-PWY		
ALTRODEHYDRAT-RXN	GALACTUROCAT-PWY	GALACT-GLUCUROCAT-PWY		
AMPSYN-RXN	PWY-7219	PWY-6126	DENOVOPURINE2-PWY	PRPP-PWY
IMP-DEHYDROG-RXN	PWY-7221	PWY-6125	DENOVOPURINE2-PWY	PRPP-PWY
HISTCYCLOHYD-RXN	HISTSYN-PWY	PRPP-PWY		
RXN0-1401	PWY-7805			
THREODEHYD-RXN	THREONINE-DEG2-PWY // THRDLCTCAT-PWY	THREOCAT-PWY		
RXN0-5199	PWY0-1296 // PWY-6608 // PWY-6620	PWY-6579		
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	PWY-6387 // PWY0-1261	PEPTIDOGLYCANSYN-PWY		
ACETOOHBUTSYN-RXN	ILEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY // THREOCAT-PWY		
FUCPALDOL-RXN	FUCCAT-PWY	FUC-RHAMCAT-PWY		
UDPKIN-RXN	PWY-7176	PWY-7211 // PWY-7208 // PWY-7196 // PWY0-162	PRPP-PWY // PWY-7211	
2.7.1.121-RXN	GLYCEROLMETAB-PWY			
RXN-7913	PWY-7197			
GMP-REDUCT-RXN				
RXN0-5114	SERSYN-PWY	SULFATE-CYS-PWY // SER-GLYSYN-PWY		
TRIOSEPISOMERIZATION-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
UDPGLUCEPIM-RXN	COLANSYN-PWY // PWY-7344 // GALACTMETAB-PWY	COLANSYN-PWY		
GALACTOKIN-RXN	GALACTMETAB-PWY			
N-ACETYLTRANSFER-RXN	GLUTORN-PWY	ARGSYN-PWY	ARG+POLYAMINE-SYN	
GLYOCARBOLIG-RXN	GLYCOLATEMET-PWY	GLYCOL-GLYOXDEG-PWY		
TYROSINE-AMINOTRANSFERASE-RXN	TYRSYN	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
FUMHYDR-RXN	FERMENTATION-PWY // TCA	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
TETRAACYLDISACC4KIN-RXN	NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
GUANYL-KIN-RXN	PWY-7221	PWY-6125	DENOVOPURINE2-PWY	PRPP-PWY
SHIKIMATE-KINASE-RXN	PWY-6163	ARO-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY
CYTIDINEKIN-RXN	PWY0-163			
DEOXYGLUCONOKIN-RXN	GALACTUROCAT-PWY // PWY-7242	GALACT-GLUCUROCAT-PWY // GLUCUROCAT-PWY	GALACT-GLUCUROCAT-PWY	
GALACTARDEHYDRA-RXN	GALACTARDEG-PWY	GLUCARGALACTSUPER-PWY		
DCDPKIN-RXN	PWY-7197 // PWY-7184 // PWY0-166	PWY-7211 // PWY0-166		
GKI-RXN	GLUCARDEG-PWY // GALACTARDEG-PWY // GLYCOLATEMET-PWY // PWY0-1300	GLUCARGALACTSUPER-PWY // GLYCOL-GLYOXDEG-PWY		
KDOTRANS2-RXN	KDOSYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
ADDALT-RXN	PWY-7179	PWY0-1297		
GLUTATHIONE-PEROXIDASE-RXN				
DIHYDROXYISOVALDEHYDRAT-RXN	VALSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
DADPKIN-RXN	PWY-7220	PWY-6126	DENOVOPURINE2-PWY	PRPP-PWY
RXN0-2381	TRPSYN-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
MALIC-NADP-RXN	GLUCONEO-PWY			
RXN-12565	PWY0-1337			
LCYSDESULF-RXN				
PUTTRANSAM-RXN	PUTDEG-PWY	ARGDEG-PWY // ORNDEG-PWY	ORNARGDEG-PWY	
ASNSYNB-RXN	ASPARAGINE-BIOSYNTHESIS	PWY0-1325		
KDGALDOL-RXN	GLUCARDEG-PWY // GALACTARDEG-PWY	GLUCARGALACTSUPER-PWY		
ARGININE-N-SUCCINYLTRANSFERASE-RXN	AST-PWY			
PREPHENATEDEHYDROG-RXN	TYRSYN	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
GLU6PDEHYDROG-RXN	OXIDATIVEPENT-PWY // GLYCOLYSIS-E-D	PENTOSE-P-PWY		
PRTRANS-RXN	TRPSYN-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
GALACTONDEHYDRAT-RXN	GALACTCAT-PWY			
ADENPRIBOSYLTRAN-RXN	PWY-7805 // PWY-6605			
ALARACECAT-RXN	PWY-8072 // ALADEG-PWY			
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	ILEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY // THREOCAT-PWY		
RXN0-5289	GLYCOLATEMET-PWY	GLYCOL-GLYOXDEG-PWY		
ACETOLACTSYN-RXN	VALSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
OROPRIBTRANS-RXN	PWY-5686	PWY-7211 // PWY0-162	PRPP-PWY // PWY-7211	
5.4.2.10-RXN	PWY0-1261 // UDPNAGSYN-PWY	OANTIGEN-PWY		
LIPIDADISACCHARIDESYNTH-RXN	NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
ADENYLOSUCCINATE-SYNTHASE-RXN	PWY-7219	PWY-6126	DENOVOPURINE2-PWY	PRPP-PWY
RXN-11832	PWY-7205 // PWY0-163	PWY-7196		
UDPACYLGLCNACDEACETYL-RXN	NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
MALSYN-RXN	GLYOXDEG-PWY // GLYOXYLATE-BYPASS	GLYCOL-GLYOXDEG-PWY // TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
GLYCEROL-KIN-RXN	PWY-4261	PWY0-381		
PRPPAMIDOTRANS-RXN	PWY-6122 // PWY-6121 // PWY-6277	PWY-6277 // DENOVOPURINE2-PWY	PRPP-PWY	
URA-PHOSPH-RXN	PWY-7181 // PWY0-181	PWY0-1298		
ACETYLORNTRANSAM-RXN	GLUTORN-PWY	ARGSYN-PWY	ARG+POLYAMINE-SYN	
RXN0-5224	CYANCAT-PWY			
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
XANPRIBOSYLTRAN-RXN	SALVPURINE2-PWY			
GLUTKIN-RXN	PROSYN-PWY			
DTMPKI-RXN	PWY-7187 // PWY-7197 // PWY-7184 // PWY0-166	PWY0-166 // PWY-7211		
ACETATEKIN-RXN	PWY0-1477 // FERMENTATION-PWY // PWY0-1312	ACETATEUTIL-PWY		
RXN0-304	PWY0-44			
NANE-RXN	PWY0-1324	GLCMANNANAUT-PWY		
OXALODECARB-RXN				
RXN-14025				
DEOXYRIBOSE-P-ALD-RXN	PWY-7180	PWY0-1298 // PWY0-1297		
OXAMATE-CARBAMOYLTRANSFERASE-RXN	PWY0-41			
RXN0-5292				
URIDINEKIN-RXN	PWY-7193	PWY-7196		
ALTRO-OXIDOREDUCT-RXN	GALACTUROCAT-PWY	GALACT-GLUCUROCAT-PWY		
OROTPDECARB-RXN	PWY-5686	PWY-7211 // PWY0-162	PRPP-PWY // PWY-7211	
RXN0-2044	PWY0-321	PWY-6071		
3-DEHYDROQUINATE-SYNTHASE-RXN	PWY-6164	ARO-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY
THYMIDYLATE-5-PHOSPHATASE-RXN				
3PGAREARR-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
TAGAKIN-RXN	GALACTITOLCAT-PWY	HEXITOLDEGSUPER-PWY		
HISTAMINOTRANS-RXN	HISTSYN-PWY	PRPP-PWY		
GLUTATHIONE-REDUCT-NADPH-RXN				
DEHYDDEOXGALACTKIN-RXN	GALACTCAT-PWY			
ACETOLACTREDUCTOISOM-RXN	VALSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
ASPARTASE-RXN	PWY-8294 // PWY-8291 // ASPASN-PWY // GLUTDEG-PWY	ASPASN-PWY		
SERINE-O-ACETTRAN-RXN	PWY-7870 // CYSTSYN-PWY	SULFATE-CYS-PWY		
MANNONOXIDOREDUCT-RXN	PWY-7242	GLUCUROCAT-PWY	GALACT-GLUCUROCAT-PWY	
DURIDKI-RXN	PWY0-181			
RXN-12618				
AICARSYN-RXN	PWY-6123	DENOVOPURINE2-PWY	PRPP-PWY	
TRANSALDOL-RXN	NONOXIPENT-PWY	PENTOSE-P-PWY		
LACTALDDEHYDROG-RXN	PWY0-1317	PWY-5459 // FUC-RHAMCAT-PWY	METHGLYUT-PWY	
ACONITATEDEHYDR-RXN	FERMENTATION-PWY // TCA // GLYOXYLATE-BYPASS	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
RXN-11667	PWY0-1337			
UDP-NACMURALA-GLU-LIG-RXN	PWY-6387	PEPTIDOGLYCANSYN-PWY		
GMKALT-RXN				
SUCCDIAMINOPIMDESUCC-RXN	DAPLYSINESYN-PWY	P4-PWY	PWY0-781	
GALACTURIDYLYLTRANS-RXN	GALACTMETAB-PWY			
RXN-11662	PWY0-1337			
2PGADEHYDRAT-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
XYLISOM-RXN	XYLCAT-PWY			
IMIDPHOSDEHYD-RXN	HISTSYN-PWY	PRPP-PWY		
FUCULOKIN-RXN	FUCCAT-PWY	FUC-RHAMCAT-PWY		
UDPNACETYLGLUCOSAMACYLTRANS-RXN	NAGLIPASYN-PWY	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
PRIBFAICARPISOM-RXN	HISTSYN-PWY	PRPP-PWY		
SUCCGLUALDDEHYD-RXN	AST-PWY			
2OXOGLUTARATEDEH-RXN	TCA	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
ANTHRANSYN-RXN	TRPSYN-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
O-SUCCHOMOSERLYASE-RXN	HOMOSER-METSYN-PWY	P4-PWY // METSYN-PWY	PWY0-781 // MET-SAM-PWY	
ACSERLY-RXN	CYSTSYN-PWY	SULFATE-CYS-PWY		
RXN0-7024	PWY0-41			
DARAB5PISOM-RXN	PWY-1269	LPSSYN-PWY // KDO-NAGLIPASYN-PWY		
CYTIKIN-RXN	PWY-7193	PWY-7196		
DGDPKIN-RXN	PWY-7222	PWY-6125	DENOVOPURINE2-PWY	PRPP-PWY
HISTIDPHOS-RXN	HISTSYN-PWY	PRPP-PWY		
GLYRIBONUCSYN-RXN	PWY-6122 // PWY-6121 // PWY-6277	PWY-6277 // DENOVOPURINE2-PWY	PRPP-PWY	
KDPGALDOL-RXN	ENTNER-DOUDOROFF-PWY // GALACTUROCAT-PWY // PWY-7242	GLYCOLYSIS-E-D // GALACT-GLUCUROCAT-PWY // GLUCUROCAT-PWY	GALACT-GLUCUROCAT-PWY	
ASPCARBTRANS-RXN	PWY-5686	PWY-7211 // PWY0-162	PRPP-PWY // PWY-7211	
RXN-9536	PWY-5971			
GABATRANSAM-RXN	PWY-6537 // PWY-6535	4AMINOBUTMETAB-PWY	ARGDEG-PWY	ORNARGDEG-PWY
RXN-7800	LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
RHAMNULPALDOL-RXN	RHAMCAT-PWY	FUC-RHAMCAT-PWY		
MALONYL-COA-ACP-TRANSACYL-RXN	PWY-4381	FASYN-INITIAL-PWY	PWY0-881	
RXN-13617	PWY0-1337			
GDPREDUCT-RXN	PWY-7222	PWY-6125	DENOVOPURINE2-PWY	PRPP-PWY
GUANOSINEKIN-RXN	PWY-6618	PWY-6579		
AGMATIN-RXN	PWY-40 // PWY0-823	POLYAMSYN-PWY // ARGDEG-PWY	ARG+POLYAMINE-SYN // ORNARGDEG-PWY	
PHENDEHYD-RXN	2PHENDEG-PWY	PWY-6071		
RXN-12567	PWY0-1337			
GLUTSEMIALDEHYDROG-RXN	PROSYN-PWY			
DEOXYINOPHOSPHOR-RXN	PWY-7179	PWY0-1297		
HOMOSERKIN-RXN	HOMOSER-THRESYN-PWY	THRESYN-PWY	P4-PWY	PWY0-781
RXN0-2382	TRPSYN-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY	
PSERTRANSAM-RXN	SERSYN-PWY	SULFATE-CYS-PWY // SER-GLYSYN-PWY		
GLUCOKIN-RXN	GLYCOCAT-PWY // TREDEGLOW-PWY // PWY0-1182 // GLUCOSE1PMETAB-PWY			
TRYPTOPHAN-RXN				
DEOXYADENPHOSPHOR-RXN	PWY-7179	PWY0-1297		
PGLYCDEHYDROG-RXN	SERSYN-PWY	SULFATE-CYS-PWY // SER-GLYSYN-PWY		
3-ISOPROPYLMALISOM-RXN	LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
HISTPRATPHYD-RXN	HISTSYN-PWY	PRPP-PWY		
NACGLCTRANS-RXN	PEPTIDOGLYCANSYN-PWY			
GAPOXNPHOSPHN-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
RXN-8001				
PYRUVDEH-RXN	GLYCOLYSIS-TCA-GLYOX-BYPASS			
DIAMINOPIMDECARB-RXN	DAPLYSINESYN-PWY	P4-PWY	PWY0-781	
D-PPENTOMUT-RXN	PWY-7180	PWY0-1298 // PWY0-1297		
TAGAALDOL-RXN	GALACTITOLCAT-PWY	HEXITOLDEGSUPER-PWY		
DIAMINOPIMEPIM-RXN	DAPLYSINESYN-PWY	P4-PWY	PWY0-781	
CHORISMATE-SYNTHASE-RXN	PWY-6163	ARO-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY
SUCCSEMIALDDEHYDROG-RXN	PWY-6537	4AMINOBUTMETAB-PWY	ARGDEG-PWY	ORNARGDEG-PWY
DIHYDROOROT-RXN	PWY-5686	PWY-7211 // PWY0-162	PRPP-PWY // PWY-7211	
RXN-14142				
RXN-7682	SALVADEHYPOX-PWY			
CYTIDEAM2-RXN	PWY-7193 // PWY-6556 // PWY0-163 // PWY0-1295	PWY-7196		
PHOSACETYLTRANS-RXN	PWY0-1477 // FERMENTATION-PWY // PWY0-1312	ACETATEUTIL-PWY		
RXN0-901	SALVADEHYPOX-PWY // PWY-6608			
CYTIDEAM-RXN	PWY-7181 // PWY0-181	PWY0-1298		
2.5.1.19-RXN	PWY-6163	ARO-PWY	COMPLETE-ARO-PWY	ALL-CHORISMATE-PWY
URKI-RXN	PWY0-163			
