,AMP_IC50,CIP_IC50,GENT_IC50
ASNt2rpp,3.165708,6.340142,3.964831
ASNtex,3.240269,10.758765,6.5325
ASP1DC,0.0,0.0,0.0
ASPCT,0.0,0.0,0.0
ASPK,0.0,0.0,0.0
ASPO6,0.0,0.0,0.0
ASPt2pp_copy1,0.0,0.0,0.0
ASPt2pp_copy2,0.0,0.0,0.0
ASPTA,0.0,0.0,0.0
ASPTA_b,0.0,0.0,0.0
ASPtex,0.0,0.0,0.0
AST,0.0,0.0,0.0
ATPM,0.0,0.0,0.0
ATPPRT,0.0,0.0,0.0
ATPS4rpp,2.486384,4.018891,8.382864
BIOMASS_Ec_iJO1366_core_53p95M,0.0,0.0,0.0
BMOCOS,0.0,0.0,0.0
BMOGDS1,0.0,0.0,0.0
BMOGDS2,0.0,0.0,0.0
BPNT,0.0,0.0,0.0
BTS5,0.0,0.0,0.0
BUTCT,0.0,0.0,0.0
BUTSO3abcpp,0.0,0.0,0.0
BUTSO3tex,0.0,0.0,0.0
BUTt2rpp,0.0,0.0,0.0
BUTtex,0.0,0.0,0.0
CA2tex,0.0,0.0,0.0
CAt6pp_b,0.0,0.0,0.0
CBMKr,0.0,0.0,0.0
CBMKr_b,0.0,0.0,0.0
CDPMEK,0.0,0.0,0.0
CGLYabcpp,0.0,0.0,0.0
CGLYtex,0.0,0.0,0.0
CHORM,0.0,0.0,0.0
CHORS,0.0,0.0,0.0
CHRPL,0.0,0.0,0.0
CITL,0.942872,13.837323,1.38688
CITt7pp,0.542305,2.523723,1.549898
CITtex,0.027296,0.127028,0.078012
CLt3_2pp,0.0,0.0,0.0
CLtex,0.0,0.0,0.0
CO2tex,0.0,0.0,0.0
CO2tex_b,0.140345,0.931029,2.783961
CO2tpp,0.0,0.0,0.0
CO2tpp_b,0.004402,0.039462,0.029917
COBALT2tex,0.0,0.0,0.0
COBALT2tpp,0.0,0.0,0.0
CPMPS,0.0,0.0,0.0
CPPPGO,0.0,0.0,0.0
CS,21.280129,3.271752,4.585315
CSND,15.501756,1.663133,2.32591
CSNt2pp,0.780257,0.083711,0.117071
CSNtex,0.039273,0.004213,0.005893
CTECOAI7_b,0.0,0.0,0.0
CTPS2,0.0,0.0,0.0
CU2tex,0.0,0.0,0.0
CU2tpp,0.0,0.0,0.0
CYSabcpp,20.524813,25.967537,100.0
CYSDabcpp,1.863378,9.123894,1.628907
CYSDDS,0.09379,0.459237,0.081989
CYSDS,4.450057,7.230491,10.344859
CYSDtex,0.032366,0.157376,0.028781
CYSS,0.0,0.0,0.0
CYStex,0.0,0.0,0.0
CYSTL,0.0,0.0,0.0
CYTBO3_4pp,0.201783,2.771385,2.535295
CYTD,29.038385,8.456564,5.010275
CYTDK2,0.0,0.0,0.0
CYTDt2pp_copy1,0.0,0.0,0.0
CYTDt2pp_copy2,0.0,0.0,0.0
CYTDtex,0.0,0.0,0.0
CYTK1,0.0,0.0,0.0
DADA,0.0,0.0,0.0
DADNt2pp,11.368051,35.820914,14.63872
DADNtex,0.572193,1.80299,0.736817
DALAt2pp,0.0,0.0,0.0
DALAtex,0.0,0.0,0.0
DAPDC,0.0,0.0,0.0
DAPE,0.0,0.0,0.0
DASYN160,0.0,0.0,0.0
DASYN161,0.0,0.0,0.0
DB4PS,0.0,0.0,0.0
DBTS,0.0,0.0,0.0
DCAtex,0.0,0.0,0.0
DCTPD,0.0,0.0,0.0
DDGALK,1.132164,2.013101,1.53946
DDGLK,6.315069,29.062445,21.77665
DDPA,0.0,0.0,0.0
DDPGALA,0.219491,0.396564,0.296394
DHACOAH,0.0,0.0,0.0
DHAD1,0.0,0.0,0.0
DHAD2,0.0,0.0,0.0
DHAPT,0.333652,0.276328,0.681031
DHAtex,67.224561,8.977008,83.943688
DHAtpp,3.383645,0.451844,4.225176
DHDPRy,0.0,0.0,0.0
DHDPS,0.0,0.0,0.0
DHFR,0.0,0.0,0.0
DHFS,0.0,0.0,0.0
DHNPA2r,0.0,0.0,0.0
DHORD2,0.0,0.0,0.0
DHORTS_b,0.0,0.0,0.0
DHPPDA2,0.0,0.0,0.0
DHPS2,0.0,0.0,0.0
DHPTDCs2,0.0,0.0,0.0
DHQS,0.0,0.0,0.0
DHQTi,0.0,0.0,0.0
DM_4crsol_c,0.0,0.0,0.0
DM_5drib_c,0.0,0.0,0.0
DM_aacald_c,0.0,0.0,0.0
DM_amob_c,0.0,0.0,0.0
DM_mththf_c,0.0,0.0,0.0
DM_oxam_c,0.0,0.0,0.0
DMATT,0.0,0.0,0.0
DMPPS,0.0,0.0,0.0
DNMPPA,0.0,0.0,0.0
DNTPPA,0.0,0.0,0.0
DPCOAK,0.0,0.0,0.0
DPR,0.0,0.0,0.0
DRPA,0.0,0.0,0.0
DSERDHr,0.0,0.0,0.0
DSERt2pp,100.0,55.526902,23.313224
DSERtex,2.593676,1.440188,0.60467
DTARTD,0.0,0.0,0.0
DTMPK,0.0,0.0,0.0
DTMPtex,2.997527,7.00875,3.123499
DURIK1,0.0,0.0,0.0
DURIPP_b,0.0,0.0,0.0
DUTPDP,0.0,0.0,0.0
DXPRIi,0.0,0.0,0.0
DXPS,0.0,0.0,0.0
E4PD,0.0,0.0,0.0
ECOAH1,0.0,0.0,0.0
ECOAH1_b,0.0,0.0,0.0
ECOAH2,0.0,0.0,0.0
ECOAH2_b,0.0,0.0,0.0
ECOAH3,0.0,0.0,0.0
ECOAH3_b,0.0,0.0,0.0
ECOAH4,0.0,0.0,0.0
ECOAH4_b,0.0,0.0,0.0
ECOAH5,0.0,0.0,0.0
ECOAH6,0.0,0.0,0.0
ECOAH7,0.0,0.0,0.0
EDA,0.171249,1.083321,0.834707
EGMEACPR,0.0,0.0,0.0
ENO,0.072228,0.320797,0.704821
EPMEACPR,0.0,0.0,0.0
ETHAAL,0.0,0.0,0.0
ETHAt2pp,0.0,0.0,0.0
ETHAtex,0.0,0.0,0.0
ETOHtex_b,0.0,0.0,0.0
ETOHtrpp_b,0.0,0.0,0.0
EX_12ppd__S_e,0.0,0.0,0.0
EX_12ppd__S_e_b,0.0,0.0,0.0
EX_23camp_e_b,0.0,0.0,0.0
EX_23ccmp_e_b,0.0,0.0,0.0
EX_23cgmp_e_b,0.0,0.0,0.0
EX_23cump_e_b,0.0,0.0,0.0
EX_3amp_e_b,0.0,0.0,0.0
EX_3cmp_e_b,0.0,0.0,0.0
EX_3gmp_e_b,0.0,0.0,0.0
EX_3ump_e_b,0.0,0.0,0.0
EX_4abut_e_b,0.0,0.0,0.0
EX_5dglcn_e_b,0.0,0.0,0.0
EX_ac_e,0.624614,0.548932,1.237436
EX_ac_e_b,0.0,0.0,0.0
EX_acac_e_b,0.0,0.0,0.0
EX_acgam_e_b,2.06512,3.910432,1.178748
EX_acmana_e_b,0.0,0.0,0.0
EX_ade_e_b,0.0,0.0,0.0
EX_adn_e_b,4.032028,3.238849,0.342465
EX_agm_e,0.0,0.0,0.0
EX_agm_e_b,0.0,0.0,0.0
EX_akg_e_b,0.0,0.0,0.0
EX_ala__D_e_b,0.0,0.0,0.0
EX_ala__L_e_b,0.0,0.0,0.0
EX_all__D_e_b,0.0,0.0,0.0
EX_alltn_e_b,0.0,0.0,0.0
EX_amp_e_b,0.0,0.0,0.0
EX_arab__L_e_b,0.158862,0.137139,0.508826
EX_arg__L_e_b,0.0,0.0,0.0
EX_asn__L_e_b,0.574077,1.690879,0.2764
EX_asp__L_e_b,0.0,0.0,0.0
EX_but_e_b,0.0,0.0,0.0
EX_butso3_e_b,0.0,0.0,0.0
EX_ca2_e_b,0.0,0.0,0.0
EX_cgly_e_b,0.0,0.0,0.0
EX_cit_e_b,0.0,0.0,0.0
EX_cl_e_b,0.0,0.0,0.0
EX_co2_e,0.093954,0.004009,0.140849
EX_co2_e_b,0.0,0.0,0.0
EX_cobalt2_e_b,0.0,0.0,0.0
EX_csn_e_b,1.265958,0.139908,0.176673
EX_cu2_e_b,0.0,0.0,0.0
EX_cys__D_e_b,0.206282,1.189071,0.178839
EX_cys__L_e_b,0.0,0.0,0.0
EX_cytd_e_b,0.0,0.0,0.0
EX_dad_2_e_b,0.0,0.0,0.0
EX_dca_e_b,0.0,0.0,0.0
EX_dha_e_b,0.0,0.0,0.0
EX_dtmp_e_b,0.304892,0.692968,0.289752
EX_etha_e_b,0.0,0.0,0.0
EX_etoh_e,0.0,0.0,0.0
EX_fe2_e_b,0.0,0.0,0.0
EX_fe3_e_b,0.0,0.0,0.0
EX_for_e,0.080231,0.019008,0.033764
EX_for_e_b,0.0,0.0,0.0
EX_fru_e_b,0.0,0.0,0.0
EX_fuc__L_e_b,0.0,0.0,0.0
EX_fum_e_b,2.550757,6.099459,15.707348
EX_g1p_e_b,1.988405,4.659534,5.370431
EX_g6p_e_b,2.890439,1.467873,2.22417
EX_gal_e_b,0.0,0.0,0.0
EX_galct__D_e_b,0.0,0.0,0.0
EX_galctn__D_e_b,0.4166,0.773985,0.52327
EX_galctn__L_e_b,0.515816,4.753277,1.141805
EX_galt_e_b,0.386444,0.287118,0.930507
EX_galur_e_b,0.17056,4.209816,1.301177
EX_gam_e_b,0.308966,1.177533,0.600362
EX_gam6p_e_b,17.471815,11.265747,13.835155
EX_glc__D_e_b,0.0,0.0,0.0
EX_glcn_e_b,0.0,0.0,0.0
EX_glcr_e_b,0.0,0.0,0.0
EX_glcur_e_b,2.831019,81.070042,4.63871
EX_gln__L_e_b,34.324771,14.891736,11.40768
EX_glu__L_e_b,11.272157,4.703836,6.382271
EX_gly_e_b,87.077561,5.063622,56.060973
EX_glyc3p_e_b,0.0,0.0,0.0
EX_glyclt_e,0.0,0.0,0.0
EX_glyclt_e_b,0.0,0.0,0.0
EX_gthrd_e_b,0.0,0.0,0.0
EX_gua_e_b,52.575016,1.771282,28.700663
EX_h_e,0.06458,0.02121,0.242772
EX_h_e_b,6.442421,0.295046,0.463123
EX_h2o_e,0.371762,2.414325,0.716452
EX_h2o_e_b,1.337446,2.340323,2.462789
EX_h2o2_e,0.0,0.0,0.0
EX_h2s_e,1.270102,4.581559,3.458456
EX_his__L_e_b,0.0,0.0,0.0
EX_hxa_e_b,0.0,0.0,0.0
EX_ile__L_e_b,0.0,0.0,0.0
EX_indole_e,10.580613,40.735572,9.473085
EX_inost_e,0.0,0.0,0.0
EX_ins_e_b,0.274686,17.675495,4.939634
EX_isetac_e_b,0.0,0.0,0.0
EX_k_e_b,0.0,0.0,0.0
EX_lcts_e_b,0.0,0.0,0.0
EX_leu__L_e_b,0.0,0.0,0.0
EX_lys__L_e_b,0.0,0.0,0.0
EX_lyx__L_e_b,8.660411,14.352508,33.702187
EX_mal__D_e_b,5.694782,32.229088,21.731768
EX_mal__L_e_b,2.474687,4.678447,4.023069
EX_malt_e_b,0.0,0.0,0.0
EX_malttr_e_b,0.0,0.0,0.0
EX_man_e_b,0.0,0.0,0.0
EX_melib_e_b,0.0,0.0,0.0
EX_meoh_e,0.0,0.0,0.0
EX_met__L_e_b,0.0,0.0,0.0
EX_metsox_S__L_e_b,0.0,0.0,0.0
EX_mg2_e_b,0.0,0.0,0.0
EX_minohp_e_b,0.0,0.0,0.0
EX_mn2_e_b,0.0,0.0,0.0
EX_mnl_e_b,0.0,0.0,0.0
EX_mobd_e_b,0.0,0.0,0.0
EX_mso3_e_b,0.0,0.0,0.0
EX_nh4_e,2.25339,1.085296,0.869043
EX_nh4_e_b,4.146901,2.648756,2.697033
EX_ni2_e_b,0.0,0.0,0.0
EX_o2_e_b,0.0,0.0,0.0
EX_orn_e_b,4.028715,1.23482,5.784577
EX_peamn_e_b,0.0,0.0,0.0
EX_phe__L_e_b,0.0,0.0,0.0
EX_pi_e,0.056644,13.246068,4.856644
EX_pi_e_b,0.0,0.0,0.0
EX_ppa_e_b,0.0,0.0,0.0
EX_pser__L_e_b,0.0,0.0,0.0
EX_ptrc_e,0.0,0.0,0.0
EX_ptrc_e_b,0.0,0.0,0.0
EX_pyr_e_b,8.694149,44.880435,14.025282
EX_quin_e_b,0.0,0.0,0.0
EX_rmn_e_b,0.0,0.0,0.0
EX_sbt__D_e_b,0.0,0.0,0.0
EX_ser__D_e_b,0.652605,0.389546,0.161196
EX_ser__L_e_b,7.045211,14.279386,44.417888
EX_so4_e_b,0.0,0.0,0.0
EX_succ_e_b,0.0,0.0,0.0
EX_sucr_e_b,0.0,0.0,0.0
EX_tartr__D_e_b,0.0,0.0,0.0
EX_tartr__L_e_b,0.933714,17.275833,9.581834
EX_taur_e_b,0.0,0.0,0.0
EX_thr__L_e_b,0.141255,0.056303,0.155847
EX_thrp_e_b,0.0,0.0,0.0
EX_thym_e,2.277373,5.100241,2.166759
EX_thymd_e_b,0.0,0.0,0.0
EX_tre_e_b,37.098679,1.698305,19.207843
EX_trp__L_e_b,0.465086,1.339301,0.256906
EX_tyr__L_e_b,0.0,0.0,0.0
EX_tyrp_e_b,0.0,0.0,0.0
EX_ump_e_b,0.0,0.0,0.0
EX_ura_e,34.776183,2.124888,1.426843
EX_ura_e_b,0.0,0.0,0.0
EX_urea_e,0.0,0.0,0.0
EX_uri_e_b,0.0,0.0,0.0
EX_val__L_e_b,0.0,0.0,0.0
EX_xan_e_b,0.0,0.0,0.0
EX_xtsn_e_b,6.41915,4.974801,1.666979
EX_xyl__D_e_b,0.802747,0.694627,3.827407
EX_zn2_e_b,0.0,0.0,0.0
F6PA,0.056583,1.833616,1.032187
F6PA_b,0.0,0.0,0.0
FACOAE120,0.0,0.0,0.0
FACOAE160,0.0,0.0,0.0
FACOAE161,0.0,0.0,0.0
FACOAL100t2pp,0.0,0.0,0.0
FADRx,0.0,0.0,0.0
FADRx2,0.0,0.0,0.0
FALDH2,0.0,0.0,0.0
FALGTHLs,0.0,0.0,0.0
FBA,3.11959,3.042037,3.436176
FBA3,0.0,0.0,0.0
FCI,0.0,0.0,0.0
FCLK,0.0,0.0,0.0
FCLPA,0.0,0.0,0.0
FCLT,0.0,0.0,0.0
FDH4pp,0.0,0.0,0.0
FDMO,0.0,0.0,0.0
FDMO2,0.0,0.0,0.0
FDMO4,0.0,0.0,0.0
FE2tex,0.0,0.0,0.0
FE2tpp,0.0,0.0,0.0
FE3abcpp,0.0,0.0,0.0
FE3tex,0.0,0.0,0.0
FESD1s,0.0,0.0,0.0
FESR,0.0,0.0,0.0
FFSD,0.0,0.0,0.0
FMNAT,0.0,0.0,0.0
FMNRx,0.0,0.0,0.0
FORtex,0.0,0.0,0.0
FORtex_b,0.0,0.0,0.0
FORtppi,0.0,0.0,0.0
FRUK,0.0,0.0,0.0
FRUpts2pp,0.0,0.0,0.0
FRUptspp,0.0,0.0,0.0
FRUtex,0.0,0.0,0.0
FTHFD,0.0,0.0,0.0
FUCtex,0.0,0.0,0.0
FUCtpp,0.0,0.0,0.0
FUM,4.87168,5.022391,11.799336
FUMt2_2pp,0.0,0.0,0.0
FUMtex,0.0,0.0,0.0
G1PACT,0.0,0.0,0.0
G1PPpp,0.0,0.0,0.0
G1Ptex,0.0,0.0,0.0
G1SAT,0.0,0.0,0.0
G3PAT160,0.0,0.0,0.0
G3PAT161,0.0,0.0,0.0
G3PD2,0.0,0.0,0.0
G3PD2_b,0.0,0.0,0.0
G5SADs,0.0,0.0,0.0
G5SD,0.0,0.0,0.0
G6PDA,5.104905,4.70691,0.23382
G6PDH2r,0.783699,0.263448,2.171514
G6Pt6_2pp,0.0,0.0,0.0
G6Ptex,0.0,0.0,0.0
GALCTD,0.0,0.0,0.0
GALCTLO,0.0,0.0,0.0
GALCTND,5.199366,9.534574,6.419195
GALCTNLt2pp,0.0,0.0,0.0
GALCTNLtex,0.0,0.0,0.0
GALCTNt2pp,0.261702,0.479908,0.3231
GALCTNtex,0.013172,0.024155,0.016263
GALCTt2rpp,0.0,0.0,0.0
GALCTtex,0.0,0.0,0.0
GALKr,0.0,0.0,0.0
GALS3,0.0,0.0,0.0
GALt2pp,0.0,0.0,0.0
GALtex,0.0,0.0,0.0
GALTptspp,0.0,0.0,0.0
GALTtex,0.0,0.0,0.0
GALURt2rpp,0.0,0.0,0.0
GALURtex,0.0,0.0,0.0
GAM6Pt6_2pp,0.0,0.0,0.0
GAMAN6Ptex,0.0,0.0,0.0
GAMptspp,0.0,0.0,0.0
GAMtex,0.0,0.0,0.0
GAPD,0.490021,0.695945,0.032048
GARFT,0.0,0.0,0.0
GART,0.0,0.0,0.0
GCALDD,0.0,0.0,0.0
GF6PTA,0.0,0.0,0.0
GHMT2r,0.0,0.0,0.0
GHMT2r_b,0.0,0.0,0.0
GK1,0.0,0.0,0.0
GLCNt2rpp,0.0,0.0,0.0
GLCNtex,0.0,0.0,0.0
GLCptspp,0.0,0.0,0.0
GLCRAL,3.65924,2.868622,7.498156
GLCRD,0.0,0.0,0.0
GLCRt2rpp,0.0,0.0,0.0
GLCRtex,0.0,0.0,0.0
GLCt2pp,0.0,0.0,0.0
GLCtex_copy1,0.0,0.0,0.0
GLCtex_copy2,0.0,0.0,0.0
GLCURt2rpp,0.897262,11.568877,1.232233
GLCURtex,0.045162,0.582302,0.062023
GLNabcpp,0.0,0.0,0.0
GLNS,0.0,0.0,0.0
GLNtex,2.742509,2.59131,3.107767
GLTPD,0.0,0.0,0.0
GLU5K,0.0,0.0,0.0
GLUABUTt7pp_b,0.0,0.0,0.0
GLUDy,0.0,0.0,0.0
GLUDy_b,0.0,0.0,0.0
GLUNpp,0.0,0.0,0.0
GLUPRT,0.0,0.0,0.0
GLUR_b,0.0,0.0,0.0
GLUt2rpp,0.0,0.0,0.0
GLUt2rpp_b,0.0,0.0,0.0
GLUt4pp,0.0,0.0,0.0
GLUtex,0.0,0.0,0.0
GLUTRR,0.0,0.0,0.0
GLUTRS,0.0,0.0,0.0
GLXCL,0.0,0.0,0.0
GLYAT_b,0.0,0.0,0.0
GLYC3Pt6pp,0.0,0.0,0.0
GLYC3Ptex,0.0,0.0,0.0
GLYCK2,0.956024,0.719318,2.403944
GLYCL,0.0,0.0,0.0
GLYCLTt2rpp,0.0,0.0,0.0
GLYCLTt2rpp_b,0.0,0.0,0.0
GLYCLTt4pp,0.0,0.0,0.0
GLYCLTtex,0.0,0.0,0.0
GLYCLTtex_b,0.0,0.0,0.0
GLYCTO2,0.0,0.0,0.0
GLYt2pp_copy1,0.0,0.0,0.0
GLYt2pp_copy2,0.0,0.0,0.0
GLYt2pp_copy2_b,0.0,0.0,0.0
GLYt4pp,0.0,0.0,0.0
GLYtex,0.0,0.0,0.0
GMPR,0.0,0.0,0.0
GMPS2,0.0,0.0,0.0
GND,0.863139,0.03317,3.74433
GNK,0.0,0.0,0.0
GRTT,0.0,0.0,0.0
GSNK,0.0,0.0,0.0
GSNt2pp,0.468253,0.222056,0.076179
GTHRDHpp,0.0,0.0,0.0
GTHRDtex,0.0,0.0,0.0
GTPCI,0.0,0.0,0.0
GTPCII2,0.0,0.0,0.0
GUAD,9.262222,2.418139,3.084884
GUAtex,0.0,0.0,0.0
GUAtpp,0.0,0.0,0.0
GUI1,0.002815,0.043449,0.006531
GUI2,0.0,0.0,0.0
H2O2tex_b,0.0,0.0,0.0
H2Otex,2.043552,0.799426,0.337058
H2Otex_b,1.07912,0.449585,0.876097
H2Otpp,1.2587,0.617626,0.940546
H2Otpp_b,0.305621,0.308914,0.298597
H2St1pp,0.0,0.0,0.0
H2Stex_b,0.0,0.0,0.0
HACD1,0.0,0.0,0.0
HACD1_b,0.0,0.0,0.0
HACD2,0.0,0.0,0.0
HACD2_b,0.0,0.0,0.0
HACD3,0.0,0.0,0.0
HACD3_b,0.0,0.0,0.0
HACD4,0.0,0.0,0.0
HACD4_b,0.0,0.0,0.0
HACD5,0.0,0.0,0.0
HACD6,0.0,0.0,0.0
HACD7,0.0,0.0,0.0
HADPCOADH3,0.0,0.0,0.0
HBZOPT,0.0,0.0,0.0
HCO3E,0.0,0.0,0.0
HEX1,0.0,0.0,0.0
HEX7,1.427131,0.172331,3.809649
HEXt2rpp,0.0,0.0,0.0
HISt2rpp,0.0,0.0,0.0
HISTD,0.0,0.0,0.0
HIStex,0.0,0.0,0.0
HISTP,0.0,0.0,0.0
HMBS,0.0,0.0,0.0
HPPK2,0.0,0.0,0.0
HSDy_b,0.0,0.0,0.0
HSK,0.0,0.0,0.0
HSST,0.0,0.0,0.0
HSTPT,0.0,0.0,0.0
Htex,0.191393,0.15889,0.031012
Htex_b,0.133469,0.154453,0.289047
HXAND,3.378969,0.875828,1.109172
HXAtex,0.0,0.0,0.0
HXCT,0.0,0.0,0.0
I2FE2SR,0.0,0.0,0.0
I2FE2SS,0.0,0.0,0.0
I2FE2SS2,0.0,0.0,0.0
I2FE2ST,0.0,0.0,0.0
I4FE4SR,0.0,0.0,0.0
I4FE4ST,0.0,0.0,0.0
ICDHyr,0.0,0.0,0.0
ICDHyr_b,2.900962,1.582892,3.08527
ICYSDS,0.0,0.0,0.0
IG3PS,0.0,0.0,0.0
IGPDH,0.0,0.0,0.0
IGPS,0.0,0.0,0.0
ILEt2rpp,0.0,0.0,0.0
ILETA_b,0.0,0.0,0.0
ILEtex,0.0,0.0,0.0
IMPC_b,0.0,0.0,0.0
IMPD,0.0,0.0,0.0
