,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
ALATA_L_b,0.57,0.0,0.11,0.17,0.22,0.28,0.34,0.4,0.46,0.51,0.57,0.61,0.64,0.67,0.69,0.72
ANPRT,0.06,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07
ANS,0.06,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07
ARGSL,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
ARGSS,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
ASAD_b,1.05,0.0,0.2,0.31,0.41,0.52,0.62,0.73,0.84,0.94,1.05,1.13,1.18,1.23,1.27,1.32
ASNS2,0.24,0.0,0.04,0.07,0.09,0.12,0.14,0.16,0.19,0.21,0.24,0.25,0.27,0.28,0.29,0.3
ASPCT,0.32,0.0,0.06,0.09,0.13,0.16,0.19,0.23,0.26,0.29,0.32,0.35,0.36,0.38,0.39,0.41
ASPK,1.05,0.0,0.2,0.31,0.41,0.52,0.62,0.73,0.84,0.94,1.05,1.13,1.18,1.23,1.27,1.32
ASPTA_b,2.88,0.0,0.54,0.84,1.13,1.42,1.71,2.0,2.29,2.58,2.88,3.09,3.22,3.36,3.49,3.61
ATPM,3.15,0.0,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
ATPPRT,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
ATPS4rpp,55.82,0.0,12.61,18.01,23.41,28.81,34.21,39.61,45.01,50.41,55.82,59.02,59.61,60.2,60.79,60.57
BIOMASS_Ec_iJO1366_core_53p95M,0.98,0.0,0.19,0.29,0.39,0.48,0.58,0.68,0.78,0.88,0.98,1.06,1.1,1.15,1.19,1.23
BPNT,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
CBMKr,0.62,0.0,0.12,0.18,0.24,0.3,0.37,0.43,0.49,0.55,0.62,0.66,0.69,0.72,0.75,0.77
CHORM,0.32,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.25,0.29,0.32,0.34,0.36,0.37,0.39,0.4
CHORS,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
CO2tex_b,19.68,0.0,4.36,6.28,8.19,10.11,12.02,13.93,15.85,17.76,19.68,20.76,20.85,20.95,21.04,21.13
CO2tpp_b,19.68,0.0,4.36,6.28,8.19,10.11,12.02,13.93,15.85,17.76,19.68,20.76,20.85,20.95,21.04,21.13
CS,4.86,0.0,1.18,1.64,2.1,2.56,3.02,3.48,3.94,4.4,4.86,4.69,3.78,2.86,1.95,1.32
CTECOAI7_b,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.1,0.12,0.13,0.15,0.16,0.17,0.17,0.18,0.19
CTPS2,0.16,0.0,0.03,0.05,0.06,0.08,0.09,0.11,0.13,0.14,0.16,0.17,0.18,0.18,0.19,0.2
CYSS,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
CYSTL,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.18,0.19
CYTBO3_4pp,35.15,0.0,7.93,11.33,14.74,18.14,21.54,24.94,28.35,31.75,35.15,37.0,37.0,37.0,37.0,37.0
CYTK1,0.18,0.0,0.03,0.05,0.07,0.09,0.11,0.12,0.14,0.16,0.18,0.19,0.2,0.21,0.22,0.22
DALAt2pp,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
DAPDC,0.34,0.0,0.06,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.34,0.36,0.38,0.39,0.41,0.42
DAPE,0.36,0.0,0.07,0.11,0.14,0.18,0.22,0.25,0.29,0.33,0.36,0.39,0.41,0.43,0.44,0.46
DASYN160,0.06,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08
DASYN161,0.07,0.0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.09
DDPA,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
DHAD1,0.86,0.0,0.16,0.25,0.34,0.42,0.51,0.6,0.68,0.77,0.86,0.92,0.96,1.0,1.04,1.08
DHAD2,0.29,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.32,0.33,0.35,0.36
DHAPT,0.87,0.0,0.31,0.38,0.45,0.52,0.59,0.66,0.73,0.8,0.87,1.08,1.48,1.88,2.27,3.01
DHDPRy,0.36,0.0,0.07,0.11,0.14,0.18,0.22,0.25,0.29,0.33,0.36,0.39,0.41,0.43,0.44,0.46
DHDPS,0.36,0.0,0.07,0.11,0.14,0.18,0.22,0.25,0.29,0.33,0.36,0.39,0.41,0.43,0.44,0.46
DHFR,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
DHORD2,0.32,0.0,0.06,0.09,0.13,0.16,0.19,0.23,0.26,0.29,0.32,0.35,0.36,0.38,0.39,0.41
DHORTS_b,0.32,0.0,0.06,0.09,0.13,0.16,0.19,0.23,0.26,0.29,0.32,0.35,0.36,0.38,0.39,0.41
DHQS,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
DHQTi,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
DTMPK,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
DUTPDP,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
ECOAH1,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ECOAH2,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ECOAH3,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ECOAH4,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ECOAH5,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ECOAH6,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
ECOAH7,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
ENO,14.59,0.0,3.02,4.46,5.91,7.36,8.8,10.25,11.69,13.14,14.59,16.09,17.65,19.22,20.78,22.67
EX_ac_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,2.97,5.0,7.04,9.15
EX_co2_e,19.68,0.0,4.36,6.28,8.19,10.11,12.02,13.93,15.85,17.76,19.68,20.76,20.85,20.95,21.04,21.13
EX_fe2_e_b,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
EX_glc__D_e_b,10.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
EX_h2o_e,45.62,0.0,9.28,13.82,18.36,22.91,27.45,31.99,36.53,41.08,45.62,48.66,49.94,51.21,52.49,53.66
EX_h_e,9.03,0.0,1.71,2.62,3.54,4.45,5.37,6.28,7.2,8.11,9.03,10.65,13.1,15.54,17.99,20.48
EX_k_e_b,0.19,0.0,0.04,0.06,0.08,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.21,0.22,0.23,0.24
EX_mg2_e_b,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EX_nh4_e_b,10.61,0.0,2.01,3.08,4.16,5.23,6.31,7.38,8.46,9.54,10.61,11.41,11.9,12.38,12.86,13.31
EX_o2_e_b,17.58,0.0,3.97,5.67,7.37,9.07,10.77,12.47,14.18,15.88,17.58,18.5,18.5,18.5,18.5,18.5
EX_pi_e_b,0.95,0.0,0.18,0.28,0.37,0.47,0.56,0.66,0.76,0.85,0.95,1.02,1.06,1.11,1.15,1.19
EX_so4_e_b,0.25,0.0,0.05,0.07,0.1,0.12,0.15,0.17,0.2,0.22,0.25,0.27,0.28,0.29,0.3,0.31
F6PA,0.87,0.0,0.31,0.38,0.45,0.52,0.59,0.66,0.73,0.8,0.87,1.08,1.48,1.88,2.27,3.01
FACOAE120,0.08,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1
FACOAE160,0.13,0.0,0.02,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.13,0.13,0.14,0.15,0.15,0.16
FACOAE161,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.1,0.12,0.13,0.15,0.16,0.17,0.17,0.18,0.19
FADRx,2.15,0.0,0.41,0.62,0.84,1.06,1.28,1.49,1.71,1.93,2.15,2.31,2.41,2.51,2.6,2.69
FBA,5.75,0.0,1.13,1.71,2.29,2.86,3.44,4.02,4.6,5.17,5.75,6.1,6.17,6.24,6.32,6.54
FBA3,1.17,0.0,0.18,0.3,0.43,0.55,0.67,0.8,0.92,1.04,1.17,1.34,1.59,1.83,2.07,2.07
FE2tex,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
FE2tpp,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
FUM,4.83,0.0,1.17,1.63,2.08,2.54,3.0,3.45,3.91,4.37,4.83,4.66,3.74,2.83,1.91,1.28
G1PACT,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
G3PAT160,0.06,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08
G3PAT161,0.07,0.0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.09
G3PD2_b,0.14,0.0,0.03,0.04,0.05,0.07,0.08,0.1,0.11,0.12,0.14,0.15,0.15,0.16,0.17,0.17
G5SADs,0.22,0.0,0.04,0.06,0.09,0.11,0.13,0.15,0.17,0.2,0.22,0.23,0.24,0.25,0.26,0.27
G5SD,0.22,0.0,0.04,0.06,0.09,0.11,0.13,0.15,0.17,0.2,0.22,0.23,0.24,0.25,0.26,0.27
G6PDH2r,4.08,0.0,0.65,1.07,1.5,1.93,2.36,2.79,3.22,3.65,4.08,4.66,5.41,6.16,6.92,6.93
GAPD,16.27,0.0,3.34,4.95,6.57,8.19,9.81,11.42,13.04,14.66,16.27,17.9,19.54,21.19,22.83,24.72
GARFT,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.3,0.35,0.39,0.44,0.47,0.49,0.51,0.53,0.41
GART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
GF6PTA,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
GHMT2r,1.1,0.0,0.21,0.32,0.43,0.54,0.65,0.76,0.87,0.98,1.1,1.18,1.23,1.28,1.33,1.31
GK1,0.24,0.0,0.05,0.07,0.09,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.29,0.3
GLCptspp,10.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
GLCtex_copy2,10.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
GLNS,1.78,0.0,0.34,0.52,0.7,0.88,1.06,1.24,1.42,1.6,1.78,1.91,1.99,2.08,2.16,2.23
GLU5K,0.22,0.0,0.04,0.06,0.09,0.11,0.13,0.15,0.17,0.2,0.22,0.23,0.24,0.25,0.26,0.27
GLUDy_b,8.4,0.0,1.59,2.44,3.29,4.14,5.0,5.85,6.7,7.55,8.4,9.04,9.42,9.8,10.18,10.47
GLUPRT,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
GLUR_b,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
GLYCL,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.0
GMPS2,0.24,0.0,0.05,0.07,0.09,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.29,0.3
GND,4.08,0.0,0.65,1.07,1.5,1.93,2.36,2.79,3.22,3.65,4.08,4.66,5.41,6.16,6.92,6.93
H2Otex_b,45.62,0.0,9.28,13.82,18.36,22.91,27.45,31.99,36.53,41.08,45.62,48.66,49.94,51.21,52.49,53.66
H2Otpp_b,45.62,0.0,9.28,13.82,18.36,22.91,27.45,31.99,36.53,41.08,45.62,48.66,49.94,51.21,52.49,53.66
HACD1,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
HACD2,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
HACD3,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
HACD4,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
HACD5,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
HACD6,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
HACD7,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
HCO3E,0.52,0.0,0.1,0.15,0.2,0.25,0.31,0.36,0.41,0.46,0.52,0.56,0.58,0.6,0.63,0.65
HISTD,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
HISTP,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
HSDy_b,0.69,0.0,0.13,0.2,0.27,0.34,0.41,0.48,0.55,0.62,0.69,0.74,0.77,0.8,0.83,0.86
HSK,0.53,0.0,0.1,0.16,0.21,0.26,0.32,0.37,0.43,0.48,0.53,0.58,0.6,0.62,0.65,0.67
HSST,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.18,0.19
HSTPT,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
Htex_b,9.03,0.0,1.71,2.62,3.54,4.45,5.37,6.28,7.2,8.11,9.03,10.65,13.1,15.54,17.99,20.48
ICDHyr,4.86,0.0,1.18,1.64,2.1,2.56,3.02,3.48,3.94,4.4,4.86,4.69,3.78,2.86,1.95,1.32
IG3PS,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
IGPDH,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
IGPS,0.06,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07
ILETA_b,0.29,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.32,0.33,0.35,0.36
IMPC_b,0.53,0.0,0.1,0.15,0.21,0.26,0.32,0.37,0.43,0.48,0.53,0.57,0.6,0.62,0.65,0.67
IMPD,0.24,0.0,0.05,0.07,0.09,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.29,0.3
IPMD,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.48,0.5,0.52,0.54,0.56
IPPMIa_b,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.48,0.5,0.52,0.54,0.56
IPPMIb_b,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.48,0.5,0.52,0.54,0.56
IPPS,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.48,0.5,0.52,0.54,0.56
K2L4Aabcpp,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
K2L4Aabctex,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
KARA1_b,0.86,0.0,0.16,0.25,0.34,0.42,0.51,0.6,0.68,0.77,0.86,0.92,0.96,1.0,1.04,1.08
KARA2,0.29,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.32,0.33,0.35,0.36
KDOCT2,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
KDOPP,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
KDOPS,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
Kt2pp,0.19,0.0,0.04,0.06,0.08,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.21,0.22,0.23,0.24
Ktex,0.19,0.0,0.04,0.06,0.08,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.21,0.22,0.23,0.24
LEUTAi,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.48,0.5,0.52,0.54,0.56
LPADSS,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
MCOATA,0.08,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1
MCTP1App,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
MDH,4.83,0.0,1.17,1.63,2.08,2.54,3.0,3.45,3.91,4.37,4.83,4.66,3.74,2.83,1.92,1.29
METS,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.18,0.19
MG2t3_2pp,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MG2tex,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MOAT,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
MOAT2,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
MPTG,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
MTHFC,0.97,0.0,0.18,0.28,0.38,0.48,0.58,0.68,0.77,0.87,0.97,1.04,1.09,1.13,1.18,1.08
MTHFD,0.97,0.0,0.18,0.28,0.38,0.48,0.58,0.68,0.77,0.87,0.97,1.04,1.09,1.13,1.18,1.08
