,control
ORPT_b,0.32
P5CR,0.22
PAPPT3,0.03
PAPSR2,0.24
PDH,7.97
PE160abcpp,0.05
PE161abcpp,0.02
PFK_3,6.92
PGAMT_b,0.09
PGCD,1.69
PGI,5.92
PGK_b,16.27
PGL,4.08
PGM_b,14.59
PHETA1_b,0.18
PIt2rpp,0.95
PItex,0.95
POR5,0.11
PPC,2.91
PPK_b,4.01
PPM_b,0.92
PPND,0.14
PPNDH,0.18
PRAGSr,0.44
PRAIS,0.44
PRAIi,0.06
PRAMPC,0.09
PRASCSi,0.44
PRATPP,0.09
PRFGS,0.44
PRMICI,0.09
PSCVT,0.37
PSD160,0.06
PSD161,0.07
PSERT,1.69
PSP_L,1.69
PSSA160,0.06
PSSA161,0.07
R15BPK,0.92
R1PK,0.92
RNTR1c2,0.03
RNTR2c2,0.03
RNTR3c2,0.03
RNTR4c2,0.03
RPE,1.96
RPI_b,2.08
SADT2,0.24
SDPDS,0.36
SDPTA_b,0.36
SERAT,0.24
SHK3Dr,0.37
SHKK,0.37
SHSL1,0.15
SO4t2pp,0.25
SO4tex,0.25
SUCDi,35.15
SUCOAS_b,3.29
SULR,0.24
TALA_b,5.75
TDSK,0.02
THDPS,0.36
THRD_L,0.29
THRS,0.53
TKT1,1.17
TKT2,0.79
TMDS,0.03
TPI,7.65
TRPAS2_b,0.06
TRPS3,0.06
TYRTA_b,0.14
U23GAAT,0.04
UAAGDS,0.03
UAGAAT,0.04
UAGCVT,0.03
UAGDP,0.09
UAGPT3,0.03
UAMAGS,0.03
UAMAS,0.03
UAPGR,0.03
UDCPDP,0.03
UGMDDS,0.03
UHGADA,0.04
UMPK,0.37
USHD,0.02
VALTA_b,0.99
VPAMTr_b,0.57
net_flux,769.61
