,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
ADK3,0.48,0.0,0.0,0.0,0.08,0.13,0.19,0.25,0.32,0.4,0.48,0.57,0.68,0.78,0.9,1.05
ADSK,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
ADSL1r,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
ADSL2r,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
ADSS,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
AGPAT160,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
AGPAT161,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
AGPR_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
AHGDx_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0
AICART,0.04,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08
AIRC2,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
AIRC3_b,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
ALAALAr,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
ALAR,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03
ALATA_L_b,0.07,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.1,0.12,0.14,0.16
APG3PAT160,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
APG3PAT161,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
ARGSL,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ARGSS,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ASAD_b,0.06,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.09,0.11,0.13,0.15
ASNS2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ASPCT,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06
ASPK,0.06,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.09,0.11,0.13,0.15
ASPTA_b,0.18,0.0,0.0,0.0,0.03,0.05,0.07,0.09,0.12,0.15,0.18,0.22,0.27,0.31,0.36,0.42
ATPM,6.86,0.0,0.0,0.0,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86
ATPPRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
BIOMASS_Ec_iML1515_core_75p37M,0.42,0.0,0.0,0.0,0.12,0.17,0.23,0.28,0.33,0.37,0.42,0.47,0.51,0.56,0.6,0.64
BPNT,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
CBMKr,0.04,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.08,0.09
CHORM,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
CHORS,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
CO2tex_b,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.04,0.04,0.05,0.0,0.06,0.06,0.04,0.07,0.07
CO2tpp_b,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.04,0.04,0.05,0.0,0.06,0.06,0.04,0.07,0.07
CS,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.09,0.11,0.13
CTECOAI6_b,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
CTPS2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03
CYSS,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
CYSTL,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02
CYTBD2pp,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.0,0.05,0.06
CYTBO3_4pp,8.14,0.0,0.0,0.0,3.11,3.94,4.74,5.57,6.41,7.26,8.14,8.97,9.85,10.77,11.62,12.54
CYTK1,0.08,0.0,0.0,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.09,0.1,0.11,0.12
DAPDC,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04
DAPE,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06
DASYN160,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
DASYN161,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
DDPA,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
DHAD1,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1
DHAD2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04
DHDPRy,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06
DHDPS,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06
DHFR,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
DHORD5,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.0,0.05,0.06
DHORDfum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
DHORTS_b,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06
DHQS,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
DHQTi,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
DTMPK,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
DUTPDP,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
EAR161x,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
ECOAH1,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ECOAH2,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ECOAH3,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ECOAH4,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ECOAH5,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ECOAH6,0.12,0.0,0.0,0.0,0.03,0.05,0.06,0.08,0.09,0.1,0.12,0.13,0.14,0.16,0.17,0.18
ECOAH7,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
ENO,19.56,0.0,0.0,0.0,7.9,9.85,11.79,13.74,15.68,17.62,19.56,21.49,23.42,25.35,27.26,29.17
ENO_degradation,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
EX_ac_e,17.89,0.0,0.0,0.0,7.48,9.24,10.99,12.72,14.45,16.16,17.89,19.58,21.26,22.95,24.61,26.24
EX_co2_e,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.04,0.04,0.05,0.0,0.06,0.06,0.04,0.07,0.07
EX_fe2_e_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EX_for_e,19.13,0.0,0.0,0.0,7.81,9.74,11.61,13.49,15.36,17.21,19.13,20.91,22.72,24.59,26.35,28.11
EX_glc__D_e_b,10.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
EX_h2o_e,3.44,0.0,0.0,0.0,0.92,1.31,1.75,2.18,2.61,3.06,3.44,3.96,4.45,4.89,5.43,5.97
EX_h_e,38.54,0.0,0.0,0.0,15.59,19.43,23.22,27.04,30.85,34.67,38.54,42.29,46.1,49.94,53.72,57.52
EX_k_e_b,0.08,0.0,0.0,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13
EX_nh4_e_b,0.72,0.0,0.0,0.0,0.13,0.2,0.29,0.38,0.49,0.61,0.72,0.86,1.03,1.18,1.37,1.59
EX_o2_e_b,8.59,0.0,0.0,0.0,3.64,4.47,5.31,6.14,6.97,7.79,8.59,9.43,10.24,11.04,11.85,12.65
EX_pi_e,0.43,0.0,0.0,0.0,0.13,0.18,0.23,0.28,0.33,0.38,0.43,0.47,0.51,0.55,0.58,0.61
EX_so4_e_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
FACOAE120,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05
FACOAE141,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
FACOAE160,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
FADRx,0.86,0.0,0.0,0.0,0.25,0.35,0.46,0.56,0.66,0.76,0.86,0.96,1.05,1.14,1.23,1.31
FBA,9.9,0.0,0.0,0.0,3.97,4.96,5.95,6.94,7.92,8.91,9.9,10.88,11.86,12.85,13.83,14.81
FE2tex,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FE2tpp,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FLDR2,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
FORtex_b,19.13,0.0,0.0,0.0,7.81,9.74,11.61,13.49,15.36,17.21,19.13,20.91,22.72,24.59,26.35,28.11
FORtppi,19.13,0.0,0.0,0.0,7.81,9.74,11.61,13.49,15.36,17.21,19.13,20.91,22.72,24.59,26.35,28.11
FTHFLi,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06
FUM,0.06,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.11,0.12,0.14
G1PACT,0.04,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06
G3PD2_b,0.06,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09
G5SADs,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
G5SD,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
GAPD,19.69,0.0,0.0,0.0,7.92,9.89,11.85,13.82,15.78,17.73,19.69,21.65,23.6,25.55,27.5,29.44
GAPD_degradation,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GARFT,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
GF6PTA,0.04,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06
GHMT2r,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.07,0.08,0.09,0.11,0.13
GK1,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
GLCt2pp,10.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
GLCtex_copy2,10.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
GLNS,0.13,0.0,0.0,0.0,0.03,0.05,0.06,0.08,0.1,0.12,0.13,0.16,0.18,0.2,0.23,0.27
GLU5K,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
GLUDy_b,0.53,0.0,0.0,0.0,0.09,0.14,0.2,0.28,0.36,0.45,0.53,0.65,0.78,0.89,1.04,1.21
GLUPRT,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
GLUR_b,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
GMPS,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
GRXR,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
GTHOr,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
H2Otex_b,3.44,0.0,0.0,0.0,0.92,1.31,1.75,2.18,2.61,3.06,3.44,3.96,4.45,4.89,5.43,5.97
H2Otpp_b,3.44,0.0,0.0,0.0,0.92,1.31,1.75,2.18,2.61,3.06,3.44,3.96,4.45,4.89,5.43,5.97
HACD1,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
HACD2,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
HACD3,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
HACD4,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
HACD5,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
HACD6,0.12,0.0,0.0,0.0,0.03,0.05,0.06,0.08,0.09,0.1,0.12,0.13,0.14,0.16,0.17,0.18
HACD7,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
HCO3E,0.13,0.0,0.0,0.0,0.04,0.05,0.07,0.08,0.1,0.11,0.13,0.15,0.16,0.18,0.2,0.22
HEX7,10.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
HISTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
HISTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
HSDy_b,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.09
HSK,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.07
HSST,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02
HSTPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
Htex_b,38.54,0.0,0.0,0.0,15.59,19.43,23.22,27.04,30.85,34.67,38.54,42.29,46.1,49.94,53.72,57.52
ICDHyr,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.09,0.11,0.13
IG3PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
IGPDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
ILETA_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04
IMPC_b,0.04,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08
IMPD,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
IPMD,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
IPPMIa_b,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
IPPMIb_b,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
IPPS,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
K2L4Aabcpp,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
K2L4Aabctex,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
KARA1_b,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1
KARA2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04
KDOCT2,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
KDOPP,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
KDOPS,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
Kt2pp,0.08,0.0,0.0,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13
Ktex,0.08,0.0,0.0,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13
LEUTAi,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
LPADSS,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MCOATA,0.1,0.0,0.0,0.0,0.03,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.12,0.13,0.14,0.15
METS,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
MOAT,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MOAT2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MOX,0.06,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.11,0.12,0.14
MTHFC,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.08,0.09
MTHFD,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.08,0.09
MTHFR2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
NADH5,12.58,0.0,0.0,0.0,5.18,6.41,7.65,8.89,10.12,11.35,12.58,13.82,15.05,10.72,17.51,18.74
NADHPO,4.5,0.0,0.0,0.0,2.09,2.5,2.94,3.35,3.75,4.15,4.5,4.93,5.29,5.65,6.02,6.34
NDPK1,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0
NDPK5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0
