,control
GARFT,0.21
GF6PTA,0.09
GHMT2r,0.47
GK1,0.12
GLCptspp,10.0
GLCtex_copy2,10.0
GLNS,0.73
GLU5K,0.07
GLUDy_b,3.6
GLUPRT,0.21
GLUR_b,0.03
GLYCL,0.08
GMPS,0.11
GND,1.49
H2Otex_b,32.81
H2Otpp_b,32.81
HACD1,0.35
HACD2,0.35
HACD3,0.35
HACD4,0.35
HACD5,0.35
HACD6,0.27
HACD7,0.13
HCO3E,0.44
HISTD,0.04
HISTP,0.04
HSDy_b,0.29
HSK,0.23
HSST,0.06
HSTPT,0.04
Htex_b,17.48
ICDHyr,2.64
IG3PS,0.04
IGPDH,0.04
IGPS,0.02
ILETA_b,0.13
IMPC_b,0.25
IMPD,0.11
IPMD,0.18
IPPMIa_b,0.18
IPPMIb_b,0.18
IPPS,0.18
K2L4Aabcpp,0.02
K2L4Aabctex,0.02
KARA1_b,0.34
KARA2,0.13
KDOCT2,0.04
KDOPP,0.04
KDOPS,0.04
Kt2pp,0.19
Ktex,0.19
LEUTAi,0.18
LPADSS,0.02
MCOATA,0.23
MCTP1App,0.01
MDH,2.68
METS,0.06
MOAT,0.02
MOAT2,0.02
MPTG,0.01
MTHFC,0.46
MTHFD,0.46
MTHFR2,0.06
NADH16pp,34.59
NADH16pp_inferred_0_degradation,0.03
NDPK1,1.47
NDPK2,0.27
NDPK3,0.19
NDPK4,0.03
NH4tex,4.55
NH4tpp,4.55
O2tex,18.5
O2tpp,18.5
OCBT,0.11
OMCDC,0.18
OMPDC,0.17
ORPT_b,0.17
P5CR,0.07
PAPPT3,0.03
PAPSR,0.08
PDH,14.58
PE160abcpp,0.06
PE161abcpp,0.07
PFK,9.04
PGAMT_b,0.09
PGCD,0.78
PGI,8.51
PGK_b,18.2
PGL,1.49
PGM_b,17.42
PHETA1_b,0.07
PItex_b,0.76
PItpp,0.76
POR5,0.11
PPA,4.62
PPC,1.19
PPM_b,0.44
PPND,0.05
PPNDH,0.07
PRAGSr,0.21
PRAIS,0.21
PRAIi,0.02
PRAMPC,0.04
PRASCSi,0.21
PRATPP,0.04
PRFGS,0.21
PRMICI,0.04
PSCVT,0.15
PSD160,0.06
PSD161,0.07
PSERT,0.78
PSP_L,0.78
PSSA160,0.06
PSSA161,0.07
PTAr,8.85
PYK3,5.86
R15BPK,0.44
R1PK,0.44
RNTR1c2,0.03
RNTR2c2,0.03
RNTR3c2,0.03
RNTR4c2,0.03
RPE,0.63
RPI_b,0.83
SADT2,0.08
SDPDS,0.15
SDPTA_b,0.15
SERAT,0.08
SHK3Dr,0.15
SHKK,0.15
SHSL1,0.06
SO4t2pp,0.08
SO4tex,0.08
SUCDi,2.4
SUCOAS_b,2.02
SULR,0.08
TALA,0.39
TDSK,0.02
THDPS,0.15
THRD_L,0.13
THRS,0.23
TKT1,0.39
TKT2,0.24
TMDS,0.03
TPI,8.9
TRDR,0.08
TRPAS2_b,0.02
TRPS3,0.02
TYRTA_b,0.05
U23GAAT,0.04
UAAGDS,0.03
UAGAAT,0.04
UAGCVT,0.03
UAGDP,0.09
UAGPT3,0.03
UAMAGS,0.03
UAMAS,0.03
UAPGR,0.03
UDCPDP,0.03
UGMDDS,0.03
UHGADA,0.04
UMPK,0.22
USHD,0.02
VPAMTr,0.16
_3HAD161,0.15
_3OAR140,0.08
_3OAR161,0.15
_3OAS140,0.08
_3OAS161,0.15
rib_degradation,0.14
trna_ch_ala__L_c,0.22
trna_ch_arg__L_c,0.11
trna_ch_asn__L_c,0.07
trna_ch_asp__L_c,0.1
trna_ch_cys__L_c,0.02
trna_ch_gln__L_c,0.07
trna_ch_glu__L_c,0.13
trna_ch_gly_c,0.18
trna_ch_his__L_c,0.04
trna_ch_ile__L_c,0.13
trna_ch_leu__L_c,0.19
trna_ch_lys__L_c,0.12
trna_ch_met__L_c,0.06
trna_ch_phe__L_c,0.08
trna_ch_pro__L_c,0.08
trna_ch_ser__L_c,0.1
trna_ch_thr__L_c,0.1
trna_ch_trp__L_c,0.02
trna_ch_tyr__L_c,0.05
trna_ch_val__L_c,0.17
net_flux,693.37
