,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
ACOAD3f_b,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACOAD4f_b,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACOAD5f_b,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACOAD6f_b,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
ACOAD7f_b,0.1,0.0,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12
ACODA,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
ACONTa,4.13,0.0,1.78,2.43,3.07,3.71,4.35,4.99,5.63,5.1,4.13,3.16,2.19,1.22,0.99,1.01
ACONTb,4.13,0.0,1.78,2.43,3.07,3.71,4.35,4.99,5.63,5.1,4.13,3.16,2.19,1.22,0.99,1.01
ACOTA_b,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
ACt2rpp_b,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,3.85,6.08,8.3,10.52,12.3,13.87
ACtex_b,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,3.85,6.07,8.3,10.52,12.3,13.87
ADK1,2.05,0.0,0.41,0.64,0.88,1.12,1.35,1.59,1.83,1.96,2.05,2.15,2.24,2.34,2.41,2.48
ADSK,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
ADSL1r,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.25,0.26,0.27,0.27,0.28
ADSL2r,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
ADSS,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.25,0.26,0.27,0.27,0.28
AGPAT160,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06
AGPAT161,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07
AGPR_b,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
AICART,0.42,0.0,0.08,0.13,0.18,0.23,0.28,0.33,0.38,0.41,0.42,0.44,0.46,0.48,0.5,0.51
AIRC2,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
AIRC3_b,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
AKGDH,3.29,0.0,1.62,2.16,2.71,3.25,3.79,4.34,4.88,4.3,3.29,2.28,1.27,0.26,0.0,0.0
ALAALAr,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
ALAR,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
ALATA_L_b,0.46,0.0,0.09,0.14,0.2,0.25,0.3,0.35,0.41,0.43,0.46,0.48,0.5,0.52,0.53,0.55
ANPRT,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
ANS,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
ARGSL,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
ARGSS,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
ASAD_b,0.84,0.0,0.17,0.26,0.36,0.45,0.55,0.65,0.74,0.8,0.84,0.88,0.91,0.95,0.98,1.01
ASNS2,0.19,0.0,0.04,0.06,0.08,0.1,0.12,0.15,0.17,0.18,0.19,0.2,0.21,0.21,0.22,0.23
ASPCT,0.26,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31
ASPK,0.84,0.0,0.17,0.26,0.36,0.45,0.55,0.65,0.74,0.8,0.84,0.88,0.91,0.95,0.98,1.01
ASPTA_b,2.29,0.0,0.45,0.72,0.98,1.25,1.51,1.77,2.04,2.19,2.29,2.4,2.5,2.61,2.69,2.76
ATPM,6.86,0.0,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86
ATPPRT,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
ATPS4rpp,60.01,0.0,16.95,23.63,30.32,37.0,43.69,50.38,57.06,59.36,60.01,60.66,61.32,61.97,61.47,60.51
BIOMASS_Ec_iML1515_core_75p37M,0.78,0.0,0.15,0.25,0.34,0.43,0.52,0.61,0.7,0.75,0.78,0.82,0.85,0.89,0.92,0.94
BPNT,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
CBMKr,0.49,0.0,0.1,0.15,0.21,0.27,0.32,0.38,0.44,0.47,0.49,0.51,0.54,0.56,0.58,0.59
CHORM,0.25,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.24,0.25,0.26,0.28,0.29,0.3,0.31
CHORS,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
CO2tex_b,20.17,0.0,5.65,7.94,10.24,12.53,14.83,17.12,19.41,20.1,20.17,20.25,20.33,20.4,19.24,17.52
CO2tpp_b,20.17,0.0,5.65,7.94,10.24,12.53,14.83,17.12,19.41,20.1,20.17,20.25,20.33,20.4,19.24,17.52
CS,4.13,0.0,1.78,2.43,3.07,3.71,4.35,4.99,5.63,5.1,4.13,3.16,2.19,1.22,0.99,1.01
CTECOAI7_b,0.12,0.0,0.02,0.04,0.05,0.06,0.08,0.09,0.1,0.11,0.12,0.12,0.13,0.13,0.14,0.14
CTPS2,0.13,0.0,0.02,0.04,0.05,0.07,0.08,0.1,0.11,0.12,0.13,0.13,0.14,0.14,0.15,0.15
CYSS,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
CYSTL,0.12,0.0,0.02,0.04,0.05,0.07,0.08,0.09,0.11,0.11,0.12,0.13,0.13,0.14,0.14,0.15
CYTBO3_4pp,37.0,0.0,10.63,14.84,19.04,23.24,27.45,31.65,35.85,37.0,37.0,37.0,37.0,37.0,37.0,37.0
CYTK1,0.14,0.0,0.03,0.04,0.06,0.08,0.09,0.11,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.17
DALAt2pp,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DAPDC,0.27,0.0,0.05,0.08,0.12,0.15,0.18,0.21,0.24,0.26,0.27,0.28,0.29,0.31,0.32,0.32
DAPE,0.29,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.26,0.28,0.29,0.3,0.32,0.33,0.34,0.35
DASYN160,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06
DASYN161,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07
DDPA,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
DHAD1,0.68,0.0,0.14,0.21,0.29,0.37,0.45,0.53,0.61,0.65,0.68,0.72,0.75,0.78,0.8,0.83
DHAD2,0.23,0.0,0.04,0.07,0.1,0.12,0.15,0.18,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27
DHAPT,2.15,0.0,0.61,0.73,1.12,0.96,0.99,0.83,1.34,1.7,2.15,2.59,3.04,3.49,4.18,4.91
DHDPRy,0.29,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.26,0.28,0.29,0.3,0.32,0.33,0.34,0.35
DHDPS,0.29,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.26,0.28,0.29,0.3,0.32,0.33,0.34,0.35
DHFR,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
DHORD2,0.26,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31
DHORTS_b,0.26,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31
DHQS,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
DHQTi,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
DTMPK,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
DUTPDP,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ECOAH1,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ECOAH2,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ECOAH3,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ECOAH4,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ECOAH5,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ECOAH6,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
ECOAH7,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
ENO,15.73,0.0,3.32,4.85,6.39,7.92,9.46,10.99,12.53,14.12,15.73,17.34,18.95,20.56,22.39,24.23
EX_ac_e,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,3.85,6.07,8.3,10.52,12.3,13.87
EX_co2_e,20.17,0.0,5.65,7.94,10.24,12.53,14.83,17.12,19.41,20.1,20.17,20.25,20.33,20.4,19.24,17.52
EX_fe2_e_b,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EX_for_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,5.99
EX_glc__D_e_b,10.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
EX_h2o_e,40.84,0.0,9.73,14.41,19.09,23.77,28.45,33.13,37.81,39.82,40.84,41.87,42.89,43.91,43.5,42.44
EX_h_e,11.05,0.0,1.42,2.25,3.08,3.91,4.74,5.57,6.4,8.49,11.05,13.6,16.16,18.71,23.2,28.55
EX_k_e_b,0.15,0.0,0.03,0.05,0.07,0.08,0.1,0.12,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.18
EX_nh4_e_b,8.46,0.0,1.67,2.65,3.62,4.6,5.57,6.55,7.52,8.07,8.46,8.84,9.23,9.62,9.92,10.2
EX_o2_e_b,18.5,0.0,5.32,7.42,9.52,11.62,13.72,15.83,17.93,18.5,18.5,18.5,18.5,18.5,18.5,18.5
EX_pi_e_b,0.76,0.0,0.15,0.24,0.32,0.41,0.5,0.58,0.67,0.72,0.76,0.79,0.82,0.86,0.89,0.91
EX_so4_e_b,0.2,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.18,0.19,0.2,0.21,0.22,0.22,0.23,0.24
F6PA,2.15,0.0,0.61,0.73,1.12,0.96,0.99,0.83,1.34,1.7,2.15,2.59,3.04,3.49,4.18,4.91
FACOAE120,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
FACOAE160,0.1,0.0,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12
FACOAE161,0.12,0.0,0.02,0.04,0.05,0.06,0.08,0.09,0.1,0.11,0.12,0.12,0.13,0.13,0.14,0.14
FADRx,1.71,0.0,0.34,0.54,0.73,0.93,1.13,1.32,1.52,1.63,1.71,1.79,1.87,1.95,2.01,2.06
FBA,5.25,0.0,1.2,1.83,2.2,3.11,3.83,4.74,4.99,5.2,5.25,5.29,5.34,5.39,5.45,5.6
FBA3,0.89,0.0,0.01,0.09,0.16,0.24,0.31,0.39,0.46,0.65,0.89,1.12,1.35,1.59,1.69,1.74
FE2tex,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FE2tpp,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FORtex_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,5.99
FORtppi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,5.99
FUM,4.11,0.0,1.78,2.42,3.06,3.69,4.33,4.97,5.61,5.08,4.11,3.13,2.16,1.19,0.96,0.98
G1PACT,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
G3PAT160,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06
G3PAT161,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07
G3PD2_b,0.11,0.0,0.02,0.03,0.05,0.06,0.07,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.13
G5SADs,0.17,0.0,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.17,0.18,0.19,0.2,0.2,0.21
G5SD,0.17,0.0,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.17,0.18,0.19,0.2,0.2,0.21
G6PDH2r,3.12,0.0,0.13,0.41,0.69,0.97,1.24,1.52,1.8,2.4,3.12,3.85,4.57,5.29,5.62,5.77
GAPD,17.08,0.0,3.58,5.27,6.96,8.65,10.34,12.03,13.72,15.4,17.08,18.75,20.42,22.09,23.92,25.8
GARFT,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.36,0.38,0.4,0.31,0.32
GART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
GF6PTA,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
GHMT2r,0.87,0.0,0.17,0.27,0.37,0.47,0.58,0.68,0.78,0.83,0.87,0.91,0.95,0.99,0.98,1.0
GK1,0.19,0.0,0.04,0.06,0.08,0.1,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.22,0.23
GLCptspp,10.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
GLCtex_copy2,10.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
GLNS,1.23,0.0,0.24,0.38,0.53,0.67,0.81,0.95,1.09,1.17,1.23,1.28,1.34,1.39,1.44,1.48
GLU5K,0.17,0.0,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.17,0.18,0.19,0.2,0.2,0.21
GLUDy_b,6.7,0.0,1.32,2.1,2.87,3.64,4.41,5.18,5.96,6.39,6.7,7.0,7.31,7.62,7.81,8.02
GLUPRT,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
GLUR_b,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
GLYCL,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.0,0.0
GMPS,0.19,0.0,0.04,0.06,0.08,0.1,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.22,0.23
GND,3.12,0.0,0.13,0.41,0.69,0.97,1.24,1.52,1.8,2.4,3.12,3.85,4.57,5.29,5.62,5.77
H2Otex_b,40.84,0.0,9.73,14.41,19.09,23.77,28.45,33.13,37.81,39.82,40.84,41.87,42.89,43.91,43.5,42.44
H2Otpp_b,40.84,0.0,9.73,14.41,19.09,23.77,28.45,33.13,37.81,39.82,40.84,41.87,42.89,43.91,43.5,42.44
HACD1,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
HACD2,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
HACD3,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
HACD4,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
HACD5,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
HACD6,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
HACD7,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
HCO3E,0.41,0.0,0.08,0.13,0.18,0.22,0.27,0.32,0.37,0.39,0.41,0.43,0.45,0.47,0.48,0.5
HISTD,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
HISTP,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
HSDy_b,0.55,0.0,0.11,0.17,0.23,0.3,0.36,0.42,0.49,0.52,0.55,0.57,0.6,0.62,0.64,0.66
HSK,0.43,0.0,0.08,0.13,0.18,0.23,0.28,0.33,0.38,0.41,0.43,0.45,0.47,0.48,0.5,0.51
HSST,0.12,0.0,0.02,0.04,0.05,0.07,0.08,0.09,0.11,0.11,0.12,0.13,0.13,0.14,0.14,0.15
HSTPT,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
Htex_b,11.05,0.0,1.42,2.25,3.08,3.91,4.74,5.57,6.4,8.49,11.05,13.6,16.16,18.71,23.2,28.55
ICDHyr,4.13,0.0,1.78,2.43,3.07,3.71,4.35,4.99,5.63,5.1,4.13,3.16,2.19,1.22,0.99,1.01
IG3PS,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
IGPDH,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
IGPS,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
ILETA_b,0.23,0.0,0.04,0.07,0.1,0.12,0.15,0.18,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27
IMPC_b,0.42,0.0,0.08,0.13,0.18,0.23,0.28,0.33,0.38,0.41,0.42,0.44,0.46,0.48,0.5,0.51
IMPD,0.19,0.0,0.04,0.06,0.08,0.1,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.22,0.23
IPMD,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.34,0.35,0.37,0.39,0.4,0.41,0.43
IPPMIa_b,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.34,0.35,0.37,0.39,0.4,0.41,0.43
IPPMIb_b,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.34,0.35,0.37,0.39,0.4,0.41,0.43
IPPS,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.34,0.35,0.37,0.39,0.4,0.41,0.43
K2L4Aabcpp,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
K2L4Aabctex,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
KARA1_b,0.68,0.0,0.14,0.21,0.29,0.37,0.45,0.53,0.61,0.65,0.68,0.72,0.75,0.78,0.8,0.83
KARA2,0.23,0.0,0.04,0.07,0.1,0.12,0.15,0.18,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27
KDOCT2,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
KDOPP,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
KDOPS,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
Kt2pp,0.15,0.0,0.03,0.05,0.07,0.08,0.1,0.12,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.18
Ktex,0.15,0.0,0.03,0.05,0.07,0.08,0.1,0.12,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.18
LEUTAi,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.34,0.35,0.37,0.39,0.4,0.41,0.43
LPADSS,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
MCOATA,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
MCTP1App,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MDH,4.11,0.0,1.78,2.42,3.06,3.69,4.33,4.97,5.61,5.08,4.11,3.13,2.16,1.19,0.96,0.98
METS,0.12,0.0,0.02,0.04,0.05,0.07,0.08,0.09,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15
MOAT,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
MOAT2,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
MPTG,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MTHFC,0.77,0.0,0.15,0.24,0.33,0.42,0.51,0.6,0.69,0.74,0.77,0.81,0.84,0.88,0.81,0.83
MTHFD,0.77,0.0,0.15,0.24,0.33,0.42,0.51,0.6,0.69,0.74,0.77,0.81,0.84,0.88,0.81,0.83
MTHFR2,0.12,0.0,0.02,0.04,0.05,0.07,0.08,0.09,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15
